Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
P16235	reviewed	LSHR_RAT	Lutropin-choriogonadotropic hormone receptor (LH/CG-R) (Luteinizing hormone receptor) (LSH-R)	Lhcgr	Rattus norvegicus (Rat)	700
P16296	reviewed	FA9_RAT	Coagulation factor IX (EC 3.4.21.22) (Christmas factor) [Cleaved into: Coagulation factor IXa light chain; Coagulation factor IXa heavy chain]	F9 Cf9	Rattus norvegicus (Rat)	462
P16310	reviewed	GHR_RAT	Growth hormone receptor (GH receptor) (Somatotropin receptor) [Cleaved into: Growth hormone-binding protein (GH-binding protein) (GHBP) (Serum-binding protein)]	Ghr	Rattus norvegicus (Rat)	638
P16598	reviewed	IL1A_RAT	Interleukin-1 alpha (IL-1 alpha)	Il1a	Rattus norvegicus (Rat)	270
P16599	reviewed	TNFA_RAT	Tumor necrosis factor (Cachectin) (TNF-alpha) (Tumor necrosis factor ligand superfamily member 2) (TNF-a) [Cleaved into: Tumor necrosis factor, membrane form (N-terminal fragment) (NTF); Intracellular domain 1 (ICD1); Intracellular domain 2 (ICD2); C-domain 1; C-domain 2; Tumor necrosis factor, soluble form]	Tnf Tnfa Tnfsf2	Rattus norvegicus (Rat)	235
P16612	reviewed	VEGFA_RAT	Vascular endothelial growth factor A (VEGF-A) (Vascular permeability factor) (VPF)	Vegfa Vegf	Rattus norvegicus (Rat)	214
P16636	reviewed	LYOX_RAT	Protein-lysine 6-oxidase (EC 1.4.3.13) (Lysyl oxidase) [Cleaved into: Protein-lysine 6-oxidase, long form; Protein-lysine 6-oxidase, short form]	Lox	Rattus norvegicus (Rat)	411
P16975	reviewed	SPRC_RAT	SPARC (Basement-membrane protein 40) (BM-40) (Osteonectin) (ON) (Secreted protein acidic and rich in cysteine)	Sparc	Rattus norvegicus (Rat)	301
P17108	reviewed	IL2_RAT	Interleukin-2 (IL-2) (T-cell growth factor) (TCGF)	Il2 Il-2	Rattus norvegicus (Rat)	155
P17246	reviewed	TGFB1_RAT	Transforming growth factor beta-1 proprotein [Cleaved into: Latency-associated peptide (LAP); Transforming growth factor beta-1 (TGF-beta-1)]	Tgfb1	Rattus norvegicus (Rat)	390
P17475	reviewed	A1AT_RAT	Alpha-1-antiproteinase (Alpha-1-antitrypsin) (Alpha-1-proteinase inhibitor) (Serpin A1)	Serpina1	Rattus norvegicus (Rat)	411
P17490	reviewed	INHA_RAT	Inhibin alpha chain	Inha	Rattus norvegicus (Rat)	366
P17491	reviewed	INHBB_RAT	Inhibin beta B chain (Activin beta-B chain)	Inhbb	Rattus norvegicus (Rat)	411
P17559	reviewed	UTER_RAT	Uteroglobin (Club cell phospholipid-binding protein) (CCPBP) (Club cells 10 kDa secretory protein) (CC10) (PCB-binding protein) (Secretoglobin family 1A member 1)	Scgb1a1 Cc10 Ugb Utg	Rattus norvegicus (Rat)	96
P17777	reviewed	LIF_RAT	Leukemia inhibitory factor (LIF) (Cholinergic neuronal differentiation factor)	Lif	Rattus norvegicus (Rat)	202
P17977	reviewed	CATG_RAT	Cathepsin G (EC 3.4.21.20)	Ctsg	Rattus norvegicus (Rat)	250
P18280	reviewed	NTF3_RAT	Neurotrophin-3 (NT-3) (HDNF) (Nerve growth factor 2) (NGF-2) (Neurotrophic factor)	Ntf3 Ntf-3	Rattus norvegicus (Rat)	258
P18291	reviewed	GRAB_RAT	Granzyme B (EC 3.4.21.79) (Fragmentin) (Natural killer cell protease 1) (RNKP-1)	Gzmb	Rattus norvegicus (Rat)	248
P18331	reviewed	INHBA_RAT	Inhibin beta A chain (Activin beta-A chain)	Inhba	Rattus norvegicus (Rat)	424
P18418	reviewed	CALR_RAT	Calreticulin (CALBP) (CRP55) (Calcium-binding protein 3) (CABP3) (Calregulin) (Endoplasmic reticulum resident protein 60) (ERp60) (HACBP)	Calr	Rattus norvegicus (Rat)	416
P18424	reviewed	LCAT_RAT	Phosphatidylcholine-sterol acyltransferase (EC 2.3.1.43) (1-alkyl-2-acetylglycerophosphocholine esterase) (EC 3.1.1.47) (Lecithin-cholesterol acyltransferase) (Phospholipid-cholesterol acyltransferase) (Platelet-activating factor acetylhydrolase) (PAF acetylhydrolase)	Lcat	Rattus norvegicus (Rat)	440
P19218	reviewed	GP2_RAT	Pancreatic secretory granule membrane major glycoprotein GP2 (Glycoprotein 80) (gp80) (Pancreatic zymogen granule membrane protein GP-2)	Gp2	Rattus norvegicus (Rat)	530
P19313	reviewed	CYTS_RAT	Cystatin-S (Cystatin-1) (Protein LM)	Cst4 Cyss	Rattus norvegicus (Rat)	141
P19332	reviewed	TAU_RAT	Microtubule-associated protein tau (Neurofibrillary tangle protein) (Paired helical filament-tau) (PHF-tau)	Mapt Mtapt Tau	Rattus norvegicus (Rat)	752
P19637	reviewed	TPA_RAT	Tissue-type plasminogen activator (t-PA) (t-plasminogen activator) (tPA) (EC 3.4.21.68) [Cleaved into: Tissue-type plasminogen activator chain A; Tissue-type plasminogen activator chain B]	Plat	Rattus norvegicus (Rat)	559
P19999	reviewed	MBL1_RAT	Mannose-binding protein A (MBP-A) (Mannan-binding protein)	Mbl1	Rattus norvegicus (Rat)	238
P20068	reviewed	NEUT_RAT	Neurotensin/neuromedin N [Cleaved into: Large neuromedin N (NmN-125); Neuromedin N (NN) (NmN); Neurotensin (NT); Tail peptide]	Nts	Rattus norvegicus (Rat)	169
P20096	reviewed	IL4_RAT	Interleukin-4 (IL-4) (B-cell IGG differentiation factor) (B-cell growth factor 1) (B-cell stimulatory factor 1) (BSF-1) (Lymphocyte stimulatory factor 1)	Il4 Il-4	Rattus norvegicus (Rat)	147
P20156	reviewed	VGF_RAT	Neurosecretory protein VGF (VGF8a protein) [Cleaved into: VGF(24-63); VGF(180-194); VGF(375-407); Neuroendocrine regulatory peptide-1 (NERP-1); Neuroendocrine regulatory peptide-2 (NERP-2); VGF-derived peptide TLQP-11; VGF-derived peptide TLQP-21; VGF-derived peptide TLQP-30; VGF-derived peptide TLQP-62; VGF-derived peptide HFHH-10; VGF-derived peptide AQEE-30; VGF-derived peptide LQEQ-19]	Vgf	Rattus norvegicus (Rat)	617
P20607	reviewed	IL6_RAT	Interleukin-6 (IL-6)	Il6 Il-6	Rattus norvegicus (Rat)	211
P20646	reviewed	PPAP_RAT	Prostatic acid phosphatase (EC 3.1.3.2) (5'-nucleotidase) (5'-NT) (EC 3.1.3.5) (Acid phosphatase 3) (Ecto-5'-nucleotidase) (Fluoride-resistant acid phosphatase) (FRAP) (Protein tyrosine phosphatase ACP3) (EC 3.1.3.48) (Thiamine monophosphatase) (TMPase)	Acp3 Acpp	Rattus norvegicus (Rat)	381
P20909	reviewed	COBA1_RAT	Collagen alpha-1(XI) chain	Col11a1	Rattus norvegicus (Rat)	1804
P20961	reviewed	PAI1_RAT	Plasminogen activator inhibitor 1 (PAI) (PAI-1) (Endothelial plasminogen activator inhibitor) (Serpin E1)	Serpine1 Pai1 Planh1	Rattus norvegicus (Rat)	402
P21581	reviewed	SCF_RAT	Kit ligand (Hematopoietic growth factor KL) (Mast cell growth factor) (MGF) (Stem cell factor) (SCF) (c-Kit ligand) [Cleaved into: Soluble KIT ligand (sKITLG)]	Kitlg Kitl Mgf	Rattus norvegicus (Rat)	273
P21674	reviewed	FST_RAT	Follistatin (FS) (Activin-binding protein)	Fst	Rattus norvegicus (Rat)	344
P21704	reviewed	DNAS1_RAT	Deoxyribonuclease-1 (EC 3.1.21.1) (Deoxyribonuclease I) (DNase I)	Dnase1 Dnl1	Rattus norvegicus (Rat)	284
P21743	reviewed	IBP1_RAT	Insulin-like growth factor-binding protein 1 (IBP-1) (IGF-binding protein 1) (IGFBP-1)	Igfbp1 Igfbp-1	Rattus norvegicus (Rat)	272
P21744	reviewed	IBP4_RAT	Insulin-like growth factor-binding protein 4 (IBP-4) (IGF-binding protein 4) (IGFBP-4)	Igfbp4 Igfbp-4	Rattus norvegicus (Rat)	254
P22057	reviewed	PTGDS_RAT	Prostaglandin-H2 D-isomerase (EC 5.3.99.2) (Glutathione-independent PGD synthase) (Lipocalin-type prostaglandin-D synthase) (Prostaglandin-D2 synthase) (PGD2 synthase) (PGDS) (PGDS2)	Ptgds	Rattus norvegicus (Rat)	189
P22273	reviewed	IL6RA_RAT	Interleukin-6 receptor subunit alpha (IL-6 receptor subunit alpha) (IL-6R subunit alpha) (IL-6R-alpha) (IL-6RA) (IL-6R 1) (CD antigen CD126) [Cleaved into: Soluble interleukin-6 receptor subunit alpha (sIL6R)]	Il6r Il6ra	Rattus norvegicus (Rat)	462
P22355	reviewed	PSPB_RAT	Pulmonary surfactant-associated protein B (SP-B) (Pulmonary surfactant-associated proteolipid SPL(Phe))	Sftpb Sftp3	Rattus norvegicus (Rat)	376
P22388	reviewed	EDN1_RAT	Endothelin-1 (ET-1) (Preproendothelin-1) (PPET1) [Cleaved into: Big endothelin-1]	Edn1	Rattus norvegicus (Rat)	202
P22985	reviewed	XDH_RAT	Xanthine dehydrogenase/oxidase [Includes: Xanthine dehydrogenase (XD) (EC 1.17.1.4); Xanthine oxidase (XO) (EC 1.17.3.2) (Xanthine oxidoreductase) (XOR)]	Xdh	Rattus norvegicus (Rat)	1331
P23097	reviewed	MMP13_RAT	Collagenase 3 (EC 3.4.24.-) (Matrix metalloproteinase-13) (MMP-13) (UMRCASE)	Mmp13	Rattus norvegicus (Rat)	466
P23363	reviewed	BDNF_RAT	Neurotrophic factor BDNF precursor form (proBDNF) (Brain-derived neurotrophic factor) [Cleaved into: Neurotrophic factor BDNF]	Bdnf	Rattus norvegicus (Rat)	249
P23377	reviewed	FURIN_RAT	Furin (EC 3.4.21.75) (Dibasic-processing enzyme) (Paired basic amino acid residue-cleaving enzyme) (PACE) (Prohormone convertase 3)	Furin Fur Pcsk3	Rattus norvegicus (Rat)	793
P23593	reviewed	APOD_RAT	Apolipoprotein D (Apo-D) (ApoD)	Apod	Rattus norvegicus (Rat)	189
P23680	reviewed	SAMP_RAT	Serum amyloid P-component (SAP)	Apcs Ptx2 Sap	Rattus norvegicus (Rat)	228
P23764	reviewed	GPX3_RAT	Glutathione peroxidase 3 (GPx-3) (GSHPx-3) (EC 1.11.1.9) (Plasma glutathione peroxidase) (GPx-P) (GSHPx-P)	Gpx3	Rattus norvegicus (Rat)	226
P23785	reviewed	GRN_RAT	Progranulin (PGRN) (Acrogranin) (Epithelin precursor) (Granulin precursor) (Proepithelin) (PEPI) [Cleaved into: Paragranulin; Granulin-1 (Granulin G); Granulin-2 (Granulin F); Granulin-3 (Epithelin-2) (Granulin B); Granulin-4 (Epithelin-1) (Granulin A); Granulin-5 (Granulin C); Granulin-6 (Granulin D); Granulin-7 (Granulin E)]	Grn	Rattus norvegicus (Rat)	588
P23928	reviewed	CRYAB_RAT	Alpha-crystallin B chain (Alpha(B)-crystallin)	Cryab	Rattus norvegicus (Rat)	175
P23943	reviewed	EDN2_RAT	Endothelin-2 (ET-2) (Preproendothelin-2) (PPET2) (Vasoactive intestinal contractor) (VIC)	Edn2	Rattus norvegicus (Rat)	176
P24090	reviewed	FETUA_RAT	Alpha-2-HS-glycoprotein (59 kDa bone sialic acid-containing protein) (BSP) (Fetuin-A) (Glycoprotein PP63)	Ahsg Fetua	Rattus norvegicus (Rat)	352
P24268	reviewed	CATD_RAT	Cathepsin D (EC 3.4.23.5) [Cleaved into: Cathepsin D 12 kDa light chain; Cathepsin D 9 kDa light chain; Cathepsin D 34 kDa heavy chain; Cathepsin D 30 kDa heavy chain]	Ctsd	Rattus norvegicus (Rat)	407
P24388	reviewed	CRHBP_RAT	Corticotropin-releasing factor-binding protein (CRF-BP) (CRF-binding protein) (Corticotropin-releasing hormone-binding protein) (CRH-BP)	Crhbp	Rattus norvegicus (Rat)	322
P24393	reviewed	GRP_RAT	Gastrin-releasing peptide (GRP) [Cleaved into: Neuromedin-C (GRP-10) (GRP18-27)]	Grp	Rattus norvegicus (Rat)	147
P24594	reviewed	IBP5_RAT	Insulin-like growth factor-binding protein 5 (IBP-5) (IGF-binding protein 5) (IGFBP-5)	Igfbp5 Igfbp-5	Rattus norvegicus (Rat)	271
P25031	reviewed	REG3B_RAT	Regenerating islet-derived protein 3-beta (REG-3-beta) (Pancreatitis-associated protein 1) (Peptide 23) (REG-2) (Regenerating islet-derived protein III-beta) (Reg III-beta) [Cleaved into: Regenerating islet-derived protein 3-beta 16.5 kDa form; Regenerating islet-derived protein 3-beta 15 kDa form]	Reg3b Pap Pap1 Reg2	Rattus norvegicus (Rat)	175
P25086	reviewed	IL1RA_RAT	Interleukin-1 receptor antagonist protein (IL-1RN) (IL-1ra) (IRAP) (IL1 inhibitor)	Il1rn Il-1ra	Rattus norvegicus (Rat)	178
P25236	reviewed	SEPP1_RAT	Selenoprotein P (SeP) [Cleaved into: Selenoprotein Se-P10; Selenoprotein Se-P6; Selenoprotein Se-P2; Selenoprotein Se-P1]	Selenop Selp Sepp1	Rattus norvegicus (Rat)	385
P25427	reviewed	NGF_RAT	Beta-nerve growth factor (Beta-NGF)	Ngf Ngfb	Rattus norvegicus (Rat)	241
P26051	reviewed	CD44_RAT	CD44 antigen (Extracellular matrix receptor III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (PGP-1) (Phagocytic glycoprotein I) (PGP-I) (CD antigen CD44)	Cd44	Rattus norvegicus (Rat)	503
P26260	reviewed	SDC1_RAT	Syndecan-1 (SYND1) (CD antigen CD138)	Sdc1 Synd1	Rattus norvegicus (Rat)	313
P26342	reviewed	TGBR3_RAT	Transforming growth factor beta receptor type 3 (TGF-beta receptor type 3) (TGFR-3) (Betaglycan) (Transforming growth factor beta receptor III) (TGF-beta receptor type III)	Tgfbr3	Rattus norvegicus (Rat)	853
P26644	reviewed	APOH_RAT	Beta-2-glycoprotein 1 (Apolipoprotein H) (Apo-H) (Beta-2-glycoprotein I) (B2GPI) (Beta(2)GPI)	Apoh	Rattus norvegicus (Rat)	297
P27435	reviewed	TRYB1_RAT	Tryptase (EC 3.4.21.59) (Mast cell protease 7) (rMCP-7) (Tryptase alpha/beta-1) (Tryptase, skin)	Tpsab1 Mcp7 Mcpt7 Tpsb1	Rattus norvegicus (Rat)	273
P27590	reviewed	UROM_RAT	Uromodulin (Tamm-Horsfall urinary glycoprotein) (THP) [Cleaved into: Uromodulin, secreted form]	Umod	Rattus norvegicus (Rat)	644
P27657	reviewed	LIPP_RAT	Pancreatic triacylglycerol lipase (PL) (Pancreatic lipase) (EC 3.1.1.3)	Pnlip	Rattus norvegicus (Rat)	465
P28576	reviewed	PDGFA_RAT	Platelet-derived growth factor subunit A (PDGF subunit A) (PDGF-1) (Platelet-derived growth factor A chain) (Platelet-derived growth factor alpha polypeptide)	Pdgfa Rpa1	Rattus norvegicus (Rat)	204
P28648	reviewed	CD63_RAT	CD63 antigen (Mast cell antigen AD1) (CD antigen CD63)	Cd63	Rattus norvegicus (Rat)	238
P28826	reviewed	MEP1B_RAT	Meprin A subunit beta (EC 3.4.24.63) (Endopeptidase-2) (Meprin B)	Mep1b	Rattus norvegicus (Rat)	704
P28841	reviewed	NEC2_RAT	Neuroendocrine convertase 2 (NEC 2) (EC 3.4.21.94) (KEX2-like endoprotease 2) (Prohormone convertase 2) (Proprotein convertase 2) (PC2)	Pcsk2 Nec-2 Nec2 Rpc2	Rattus norvegicus (Rat)	637
P29456	reviewed	IL10_RAT	Interleukin-10 (IL-10) (Cytokine synthesis inhibitory factor) (CSIF)	Il10 Il-10	Rattus norvegicus (Rat)	178
P29534	reviewed	VCAM1_RAT	Vascular cell adhesion protein 1 (V-CAM 1) (VCAM-1) (CD antigen CD106) [Cleaved into: Soluble Vascular Cell Adhesion Molecule-1]	Vcam1 Vcam-1	Rattus norvegicus (Rat)	739
P29598	reviewed	UROK_RAT	Urokinase-type plasminogen activator (U-plasminogen activator) (uPA) (EC 3.4.21.73) [Cleaved into: Urokinase-type plasminogen activator long chain A; Urokinase-type plasminogen activator short chain A; Urokinase-type plasminogen activator chain B]	Plau	Rattus norvegicus (Rat)	432
P29676	reviewed	EPO_RAT	Erythropoietin	Epo	Rattus norvegicus (Rat)	192
P30120	reviewed	TIMP1_RAT	Metalloproteinase inhibitor 1 (Tissue inhibitor of metalloproteinases 1) (TIMP-1)	Timp1 Timp-1	Rattus norvegicus (Rat)	217
P30121	reviewed	TIMP2_RAT	Metalloproteinase inhibitor 2 (Tissue inhibitor of metalloproteinases 2) (TIMP-2)	Timp2 Timp-2	Rattus norvegicus (Rat)	220
P30152	reviewed	NGAL_RAT	Neutrophil gelatinase-associated lipocalin (NGAL) (Alpha-2-microglobulin-related protein) (Alpha-2U globulin-related protein) (Lipocalin 24p3) (Lipocalin-2) (Siderocalin LCN2) (p25)	Lcn2	Rattus norvegicus (Rat)	198
P30348	reviewed	CXCL2_RAT	C-X-C motif chemokine 2 (Cytokine-induced neutrophil chemoattractant 3) (CINC-3) (Macrophage inflammatory protein 2) (MIP2)	Cxcl2 Cinc3 Mip-2 Mip2 Scyb2	Rattus norvegicus (Rat)	100
P30904	reviewed	MIF_RAT	Macrophage migration inhibitory factor (MIF) (EC 5.3.2.1) (Glutathione-binding 13 kDa protein) (L-dopachrome isomerase) (L-dopachrome tautomerase) (EC 5.3.3.12) (Phenylpyruvate tautomerase)	Mif	Rattus norvegicus (Rat)	115
P31211	reviewed	CBG_RAT	Corticosteroid-binding globulin (CBG) (Serpin A6) (Transcortin)	Serpina6 Cbg	Rattus norvegicus (Rat)	396
P31394	reviewed	PROC_RAT	Vitamin K-dependent protein C (EC 3.4.21.69) (Anticoagulant protein C) (Autoprothrombin IIA) (Blood coagulation factor XIV) [Cleaved into: Vitamin K-dependent protein C light chain; Vitamin K-dependent protein C heavy chain; Activation peptide]	Proc	Rattus norvegicus (Rat)	461
P31720	reviewed	C1QA_RAT	Complement C1q subcomponent subunit A	C1qa	Rattus norvegicus (Rat)	245
P31721	reviewed	C1QB_RAT	Complement C1q subcomponent subunit B	C1qb	Rattus norvegicus (Rat)	253
P31722	reviewed	C1QC_RAT	Complement C1q subcomponent subunit C	C1qc C1qg	Rattus norvegicus (Rat)	245
P32038	reviewed	CFAD_RAT	Complement factor D (EC 3.4.21.46) (Adipsin) (C3 convertase activator) (Endogenous vascular elastase) (Properdin factor D)	Cfd Adn Df	Rattus norvegicus (Rat)	263
P33436	reviewed	MMP2_RAT	72 kDa type IV collagenase (EC 3.4.24.24) (72 kDa gelatinase) (Gelatinase A) (Matrix metalloproteinase-2) (MMP-2) [Cleaved into: PEX]	Mmp2	Rattus norvegicus (Rat)	662
P34058	reviewed	HS90B_RAT	Heat shock protein HSP 90-beta (Heat shock 84 kDa) (HSP 84) (HSP84)	Hsp90ab1 Hsp84 Hspc3 Hspcb	Rattus norvegicus (Rat)	724
P34131	reviewed	NTF4_RAT	Neurotrophin-4 (NT-4) (Neurotrophin-5) (NT-5) (Neutrophic factor 4)	Ntf4 Nt4 Ntf5	Rattus norvegicus (Rat)	209
P34901	reviewed	SDC4_RAT	Syndecan-4 (SYND4) (Ryudocan core protein)	Sdc4 Synd4	Rattus norvegicus (Rat)	202
P35053	reviewed	GPC1_RAT	Glypican-1 (HSPG M12) [Cleaved into: Secreted glypican-1]	Gpc1	Rattus norvegicus (Rat)	558
P35231	reviewed	REG3A_RAT	Regenerating islet-derived protein 3-alpha (REG-3-alpha) (Islet of Langerhans regenerating protein 3) (REG 3) (Lithostathine 3) (Pancreatitis-associated protein 2) (RegIII) (Regenerating islet-derived protein III-alpha) (Reg III-alpha) [Cleaved into: Regenerating islet-derived protein 3-alpha 16.5 kDa form; Regenerating islet-derived protein 3-alpha 15 kDa form]	Reg3a Pap2 Reg3	Rattus norvegicus (Rat)	174
P35248	reviewed	SFTPD_RAT	Pulmonary surfactant-associated protein D (PSP-D) (SP-D) (CP4) (Lung surfactant protein D)	Sftpd Sftp4	Rattus norvegicus (Rat)	374
P35444	reviewed	COMP_RAT	Cartilage oligomeric matrix protein (COMP)	Comp	Rattus norvegicus (Rat)	755
P35446	reviewed	SPON1_RAT	Spondin-1 (F-spondin)	Spon1 Sponf	Rattus norvegicus (Rat)	807
P35559	reviewed	IDE_RAT	Insulin-degrading enzyme (EC 3.4.24.56) (Insulin protease) (Insulinase) (Insulysin)	Ide	Rattus norvegicus (Rat)	1019
P35577	reviewed	THBG_RAT	Thyroxine-binding globulin (Serpin A7) (T4-binding globulin)	Serpina7 Tbg	Rattus norvegicus (Rat)	418
P35763	reviewed	PERF_RAT	Perforin-1 (P1) (Cytolysin) (Lymphocyte pore-forming protein)	Prf1 Pfp	Rattus norvegicus (Rat)	554
P35859	reviewed	ALS_RAT	Insulin-like growth factor-binding protein complex acid labile subunit (ALS)	Igfals Als	Rattus norvegicus (Rat)	603
P36364	reviewed	FGF9_RAT	Fibroblast growth factor 9 (FGF-9) (Glia-activating factor) (GAF) (HBGF-9)	Fgf9 Fgf-9	Rattus norvegicus (Rat)	208
P36633	reviewed	AOC1_RAT	Diamine oxidase [copper-containing] (Diamine oxidase) (EC 1.4.3.22) (Amiloride-binding protein 1) (Amine oxidase copper domain-containing protein 1) (Histaminase)	Aoc1 Abp1	Rattus norvegicus (Rat)	746
P36940	reviewed	TNFL6_RAT	Tumor necrosis factor ligand superfamily member 6 (CD95 ligand) (CD95-L) (Fas antigen ligand) (Fas ligand) (FasL) (CD antigen CD178) [Cleaved into: Tumor necrosis factor ligand superfamily member 6, membrane form; Tumor necrosis factor ligand superfamily member 6, soluble form (Receptor-binding FasL ectodomain) (Soluble Fas ligand) (sFasL); ADAM10-processed FasL form (APL); FasL intracellular domain (FasL ICD) (SPPL2A-processed FasL form) (SPA)]	Faslg Apt1Lg1 Cd95l Fasl Tnfsf6	Rattus norvegicus (Rat)	278
P37136	reviewed	ACES_RAT	Acetylcholinesterase (AChE) (EC 3.1.1.7)	Ache	Rattus norvegicus (Rat)	614
P37377	reviewed	SYUA_RAT	Alpha-synuclein	Snca	Rattus norvegicus (Rat)	140
P40241	reviewed	CD9_RAT	CD9 antigen (CD antigen CD9)	Cd9	Rattus norvegicus (Rat)	226
P41413	reviewed	PCSK5_RAT	Proprotein convertase subtilisin/kexin type 5 (EC 3.4.21.-) (Proprotein convertase 5) (PC5) (Proprotein convertase 6) (PC6) (Subtilisin/kexin-like protease PC5) (rPC5)	Pcsk5	Rattus norvegicus (Rat)	1809
P42203	reviewed	IL13_RAT	Interleukin-13 (IL-13) (T-cell activation protein P600)	Il13 Il-13	Rattus norvegicus (Rat)	131
P42854	reviewed	REG3G_RAT	Regenerating islet-derived protein 3-gamma (REG-3-gamma) (Pancreatitis-associated protein 3) (Regenerating islet-derived protein III-gamma) (Reg III-gamma) [Cleaved into: Regenerating islet-derived protein 3-gamma 16.5 kDa form; Regenerating islet-derived protein 3-gamma 15 kDa form]	Reg3g Pap3	Rattus norvegicus (Rat)	174
P43145	reviewed	ADML_RAT	Pro-adrenomedullin [Cleaved into: Adrenomedullin (AM); Proadrenomedullin N-20 terminal peptide (ProAM N-terminal 20 peptide) (PAMP) (ProAM-N20)]	Adm	Rattus norvegicus (Rat)	185
P43303	reviewed	IL1R2_RAT	Interleukin-1 receptor type 2 (IL-1R-2) (IL-1RT-2) (IL-1RT2) (CD121 antigen-like family member B) (IL-1 type II receptor) (Interleukin-1 receptor beta) (IL-1R-beta) (Interleukin-1 receptor type II) (CD antigen CD121b) [Cleaved into: Interleukin-1 receptor type 2, membrane form (mIL-1R2) (mIL-1RII); Interleukin-1 receptor type 2, soluble form (sIL-1R2) (sIL-1RII)]	Il1r2 Il-1r2 Il1rb	Rattus norvegicus (Rat)	416
P43322	reviewed	NRG1_RAT	Pro-neuregulin-1, membrane-bound isoform (Pro-NRG1) [Cleaved into: Neuregulin-1 (Acetylcholine receptor-inducing activity) (ARIA) (Glial growth factor) (Heregulin) (HRG) (Neu differentiation factor) (Sensory and motor neuron-derived factor)]	Nrg1 Ndf	Rattus norvegicus (Rat)	662
P45479	reviewed	PPT1_RAT	Palmitoyl-protein thioesterase 1 (PPT-1) (EC 3.1.2.22) (Palmitoyl-protein hydrolase 1)	Ppt1 Cln1 Ppt	Rattus norvegicus (Rat)	306
P47820	reviewed	ACE_RAT	Angiotensin-converting enzyme (ACE) (EC 3.4.15.1) (Dipeptidyl carboxypeptidase I) (Kininase II) (CD antigen CD143) [Cleaved into: Angiotensin-converting enzyme, soluble form]	Ace Dcp1	Rattus norvegicus (Rat)	1313
P47971	reviewed	NPTX1_RAT	Neuronal pentraxin-1 (NP1) (47 kDa taipoxin-binding protein) (Neuronal pentraxin I) (NP-I)	Nptx1	Rattus norvegicus (Rat)	432
P48032	reviewed	TIMP3_RAT	Metalloproteinase inhibitor 3 (Tissue inhibitor of metalloproteinases 3) (TIMP-3)	Timp3 Timp-3	Rattus norvegicus (Rat)	211
P48199	reviewed	CRP_RAT	C-reactive protein	Crp Ptx1	Rattus norvegicus (Rat)	230
P48750	reviewed	CSF2_RAT	Granulocyte-macrophage colony-stimulating factor (GM-CSF) (Colony-stimulating factor) (CSF)	Csf2 Csfgm	Rattus norvegicus (Rat)	144
P48973	reviewed	CXL10_RAT	C-X-C motif chemokine 10 (10 kDa interferon gamma-induced protein) (Gamma-IP10) (IP-10) (Interferon-inducible protein 10) (Protein Mob-1) (Small-inducible cytokine B10)	Cxcl10 Inp10 Mob1 Scyb10	Rattus norvegicus (Rat)	98
P49000	reviewed	MIS_RAT	Muellerian-inhibiting factor (Anti-Muellerian hormone) (AMH) (Muellerian-inhibiting substance) (MIS)	Amh	Rattus norvegicus (Rat)	553
P49001	reviewed	BMP2_RAT	Bone morphogenetic protein 2 (BMP-2) (Bone morphogenetic protein 2A) (BMP-2A)	Bmp2 Bmp-2	Rattus norvegicus (Rat)	393
P49192	reviewed	CART_RAT	Cocaine- and amphetamine-regulated transcript protein [Cleaved into: CART(1-52); CART(55-102); CART(62-102)]	Cartpt Cart	Rattus norvegicus (Rat)	129
P49616	reviewed	UPAR_RAT	Urokinase plasminogen activator surface receptor (U-PAR) (uPAR) (CD antigen CD87)	Plaur	Rattus norvegicus (Rat)	328
P49744	reviewed	TSP4_RAT	Thrombospondin-4	Thbs4 Tsp-4 Tsp4	Rattus norvegicus (Rat)	980
P49745	reviewed	TPO_RAT	Thrombopoietin	Thpo	Rattus norvegicus (Rat)	326
P50115	reviewed	S10A8_RAT	Protein S100-A8 (Calgranulin-A) (Migration inhibitory factor-related protein 8) (MRP-8) (p8) (S100 calcium-binding protein A8)	S100a8 Mrp8	Rattus norvegicus (Rat)	89
P50116	reviewed	S10A9_RAT	Protein S100-A9 (Calgranulin-B) (Migration inhibitory factor-related protein 14) (MRP-14) (p14) (Myeloid-related protein 14) (S100 calcium-binding protein A9)	S100a9 Mrp14	Rattus norvegicus (Rat)	113
P50229	reviewed	CCL3_RAT	C-C motif chemokine 3 (Macrophage inflammatory protein 1-alpha) (MIP-1-alpha) (Small-inducible cytokine A3)	Ccl3 Mip1a Scya3	Rattus norvegicus (Rat)	92
P50230	reviewed	CCL4_RAT	C-C motif chemokine 4 (Macrophage inflammatory protein 1-beta) (MIP-1-beta) (Small-inducible cytokine A4)	Ccl4 Mip1b Scya4	Rattus norvegicus (Rat)	92
P50231	reviewed	CCL5_RAT	C-C motif chemokine 5 (SIS-delta) (Small-inducible cytokine A5) (T-cell-specific protein RANTES)	Ccl5 Scya5	Rattus norvegicus (Rat)	92
P50280	reviewed	MMP7_RAT	Matrilysin (EC 3.4.24.23) (Matrin) (Matrix metalloproteinase-7) (MMP-7) (Pump-1 protease) (Uterine metalloproteinase)	Mmp7 Mmp-7	Rattus norvegicus (Rat)	267
